Afghanistan, Kabul
Albania, Tirana
Algeria, Algiers
Andorra, Andorra la Vella
Angola, Luanda
Antigua, Saint John's
Argentina, Buenos Aires
Armenia, Yerevan
Australia, Canberra
Austria, Vienna
Azerbaijan, Baku
Bahamas, Nassau
Bahrain, Manama
Bangladesh, Dhaka
Barbados, Bridgetown
Belarus, Minsk
Belgium, Brussels
Belize, Belmopan
Benin, Porto Novo
Bhutan, Thimphu
Bolivia, La Paz
Bosnia, Sarajevo
Botswana, Gaborone
Brazil, Brasilia
Brunei, Bandar Seri Begawan
Bulgaria, Sofia
BurkinaFaso , Ouagadougou
Burundi, Bujumbura
Cambodia, Phnom Penh
Cameroon, Yaounde
Canada, Ottawa
Cape Verde, Praia
C African Rep, Bangui
Chad, N'Djamena
Chile, Santiago
China, Beijing
Colombia, Bogota
Comoros, Moroni
Congo, Republic of the, Brazzaville
DRO Congo, Kinshasa
Costa Rica, San Jose
Cote d'Ivoire, Yamoussoukro
Croatia, Zagreb
Cuba, Havana
Cyprus, Nicosia
Czech Republic, Prague
Denmark, Copenhagen
Djibouti, Djibouti
Dominica, Roseau
Dominican Rep, Santo Domingo
Timor-Leste, Dili
Ecuador, Quito
Egypt, Cairo
El Salvador, San Salvador
Eq. Guinea, Malabo
Eritrea, Asmara
Estonia, Tallinn
Ethiopia, Addis Ababa
Fiji, Suva
Finland, Helsinki
France, Paris
Gabon, Libreville
Gambia, Banjul
Georgia, Tbilisi
Germany, Berlin
Ghana, Accra
Greece, Athens
Grenada, Saint George's
Guatemala, Guatemala City
Guinea, Conakry
Guinea Bissau, Bissau
Guyana, Georgetown
Haiti, Port au Prince
Honduras, Tegucigalpa
Hungary, Budapest
Iceland, Reykjavik
India, New Delhi
Indonesia, Jakarta
Iran, Tehran
Iraq, Baghdad
Ireland, Dublin
Israel, Jerusalem*
Italy, Rome
Jamaica, Kingston
Japan, Tokyo
Jordan, Amman
Kazakhstan, Astana
Kenya, Nairobi
Kiribati, Tarawa Atoll
North Korea, Pyongyang
South Korea, Seoul
Kosovo, Pristina
Kuwait, Kuwait City
Kyrgyzstan, Bishkek
Laos, Vientiane
Latvia, Riga
Lebanon, Beirut
Lesotho, Maseru
Liberia, Monrovia
Libya, Tripoli
Liechtenstein, Vaduz
Lithuania, Vilnius
Luxembourg, Luxembourg
Macedonia, Skopje
Madagascar, Antananarivo
Malawi, Lilongwe
Malaysia, Kuala Lumpur
Maldives, Male
Mali, Bamako
Malta, Valletta
Marshall Islands, Majuro
Mauritania, Nouakchott
Mauritius, Port Louis
Mexico, Mexico City
Micronesia, FPalikir
Moldova, Chisinau
Monaco, Monaco
Mongolia, Ulaanbaatar
Montenegro, Podgorica
Morocco, Rabat
Mozambique, Maputo
Myanmar, Naypyidaw
Namibia, Windhoek
Nauru, Yaren District
Nepal, Kathmandu
Netherlands, Amsterdam
New Zealand, Wellington
Nicaragua, Managua
Niger, Niamey
Nigeria, Abuja
Norway, Oslo
Oman, Muscat
Pakistan, Islamabad
Palau, Melekeok
Panama, Panama City
Papua New Guinea, Port Moresby
Paraguay, Asuncion
Peru, Lima
Philippines, Manila
Poland, Warsaw
Portugal, Lisbon
Qatar, Doha
Romania, Bucharest
Russia, Moscow
Rwanda, Kigali
Saint Kitts, Basseterre
Saint Lucia, Castries
Saint Vicent, Kingstown
Samoa, Apia
San Marino, San Marino
Sao Tome, Sao Tome
Saudi Arabia, Riyadh
Senegal, Dakar
Serbia, Belgrade
Seychelles, Victoria
Sierra Leone, Freetown
Singapore, Singapore
Slovakia, Bratislava
Slovenia, Ljubljana
Solomon Islands, Honiara
Somalia, Mogadishu
South Africa, Cape Town
South Sudan, Juba
Spain, Madrid
Sri Lanka, Colombo
Sudan, Khartoum
Suriname, Paramaribo
Swaziland, Mbabane
Sweden, Stockholm
Switzerland, Bern
Syria, Damascus
Taiwan, Taipei
Tajikistan, Dushanbe
Tanzania, Dar es Salaam
Thailand, Bangkok
Togo, Lome
Tonga, Nuku'alofa
Trinidad and Tobago, Port of Spain
Tunisia, Tunis
Turkey, Ankara
Turkmenistan, Ashgabat
Tuvalu, Vaiaku village, Funafuti province
Uganda, Kampala
Ukraine, Kyiv
United Arab Emirates, Abu Dhabi
United Kingdom, London
USA, Washington D.C.
Uruguay, Montevideo
Uzbekistan, Tashkent
Vanuatu, Port Villa
Vatican City, Vatican City
Venezuela, Caracas
Vietnam, Hanoi
Yemen, Sanaa
Zambia, Lusaka
Zimbabwe, Harare